,Date,Media Sources,Negative,Neutral,Positive,Source Account,Tweet Polarity,Tweets Ago
0,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,1
1,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,2
2,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,3
3,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,4
4,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,5
5,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,6
6,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,7
7,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,8
8,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,9
9,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,10
10,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,11
11,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,12
12,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,13
13,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,14
14,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,15
15,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,16
16,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,17
17,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,18
18,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,19
19,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,20
20,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,21
21,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,22
22,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,23
23,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,24
24,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,25
25,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,26
26,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,27
27,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,28
28,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,29
29,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,30
30,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,31
31,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,32
32,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,33
33,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,34
34,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,35
35,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,36
36,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,37
37,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,38
38,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,39
39,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,40
40,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,41
41,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,42
42,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,43
43,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,44
44,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,45
45,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,46
46,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,47
47,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,48
48,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,49
49,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,50
50,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,51
51,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,52
52,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,53
53,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,54
54,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,55
55,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,56
56,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,57
57,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,58
58,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,59
59,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,60
60,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,61
61,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,62
62,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,63
63,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,64
64,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,65
