,Unnamed: 0,Date,Media Sources,Tweet Polarity,Ticker,date,Price
0,0,2018-01-03,@MarathonPetroCo,0.2384499999999999,MPC,2018-01-03,68.61
1,1,2018-01-04,@DevonEnergy,-0.092,DVN,2018-01-04,43.23
2,2,2018-01-04,@MarathonPetroCo,0.2123,MPC,2018-01-04,68.68
3,3,2018-01-04,@OPECnews,0.4939,USO,2018-01-04,12.37
4,4,2018-01-05,@DevonEnergy,-0.2787000000000001,DVN,2018-01-05,43.11
5,5,2018-01-05,@MarathonPetroCo,0.0,MPC,2018-01-05,69.34
6,6,2018-01-05,@OPECnews,0.3394249999999998,USO,2018-01-05,12.31
7,7,2018-01-05,@OXY_Petroleum,0.13176666666666662,OXY,2018-01-05,74.55
8,8,2018-01-05,@ValeroEnergy,-0.26080000000000003,VLO,2018-01-05,94.03
17,17,2018-01-08,@DevonEnergy,0.4573999999999999,DVN,2018-01-08,43.25
18,18,2018-01-08,@OXY_Petroleum,0.0,OXY,2018-01-08,75.19
19,19,2018-01-08,@Phillips66Co,0.3612000000000001,PSX,2018-01-08,102.06
20,20,2018-01-08,@ValeroEnergy,0.7650000000000001,VLO,2018-01-08,94.22
21,21,2018-01-09,@DevonEnergy,0.53745,DVN,2018-01-09,42.54
22,22,2018-01-09,@MarathonPetroCo,0.7330000000000003,MPC,2018-01-09,69.0
23,23,2018-01-09,@OPECnews,0.0,USO,2018-01-09,12.57
24,24,2018-01-09,@OXY_Petroleum,0.03364117647058824,OXY,2018-01-09,74.89
25,25,2018-01-09,@Phillips66Co,0.18060000000000007,PSX,2018-01-09,101.72
26,26,2018-01-09,@ValeroEnergy,0.16999999999999996,VLO,2018-01-09,94.1
27,27,2018-01-10,@DevonEnergy,0.6294666666666668,DVN,2018-01-10,42.18
28,28,2018-01-10,@MarathonPetroCo,0.2984000000000002,MPC,2018-01-10,69.51
29,29,2018-01-10,@OPECnews,0.0,USO,2018-01-10,12.68
30,30,2018-01-10,@OXY_Petroleum,0.0,OXY,2018-01-10,74.25
31,31,2018-01-10,@Phillips66Co,0.6807999999999997,PSX,2018-01-10,102.08
32,32,2018-01-10,@ValeroEnergy,0.0,VLO,2018-01-10,94.15
33,33,2018-01-10,@conocophillips,0.192,COP,2018-01-10,57.65
34,34,2018-01-11,@DevonEnergy,0.7856714285714285,DVN,2018-01-11,43.07
35,35,2018-01-11,@MarathonPetroCo,0.5677500000000001,MPC,2018-01-11,70.25
36,36,2018-01-11,@OPECnews,0.26335,USO,2018-01-11,12.7
37,37,2018-01-11,@OXY_Petroleum,0.0,OXY,2018-01-11,75.82
38,38,2018-01-11,@Phillips66Co,0.6808000000000005,PSX,2018-01-11,102.37
39,39,2018-01-11,@conocophillips,0.07477391304347825,COP,2018-01-11,59.18
40,40,2018-01-12,@DevonEnergy,0.6052916666666662,DVN,2018-01-12,44.04
41,41,2018-01-12,@MarathonPetroCo,0.4573999999999999,MPC,2018-01-12,71.42
42,42,2018-01-12,@OPECnews,0.3995999999999997,USO,2018-01-12,12.87
43,43,2018-01-12,@Phillips66Co,0.3953200000000004,PSX,2018-01-12,104.97
44,44,2018-01-12,@ValeroEnergy,0.0,VLO,2018-01-12,96.75
45,45,2018-01-12,@conocophillips,0.27522142857142845,COP,2018-01-12,60.05
